Airport,ShortName,Location,Country,Size
Villamontes Airport,VLM,Villamontes,Bolivia,1
Yacuiba Airport,BYC,Yacuiba,Bolivia,1
Southdowns Airport,KIW,Kitwe,Zambia,1
Livingstone Airport,LVI,Livingstone,Zambia,2
Lukulu Airport,LXU,Lukulu,Zambia,1
Lusaka Airport,LUN,Lusaka,Zambia,2
Mansa Airport,MNS,Mansa,Zambia,1
Mbala Airport,MMQ,Mbala,Zambia,1
Mfuwe Airport,MFU,Mfuwe,Zambia,1
Mongu Airport,MNR,Mongu,Zambia,1
Masindi Airport,KCU,Masindi,Uganda,1
Mbarara Airport,MBQ,Mbarara,Uganda,1
Moyo Airport,OYG,Moyo,Uganda,1
Pakuba Airport,PAF,Pakuba,Uganda,1
Soroti Airport,SRT,Soroti,Uganda,1
Tororo Airport,TRY,Tororo,Uganda,1
Valparaiso Airport,VAP,Valparaiso,Chile,1
Victoria Airport,ZIC,Victoria,Chile,1
Vina del Mar Airport,KNA,Vina del Mar,Chile,1
Bahia Cupica Airport,BHF,Bahia Cupica,Colombia,1
Bahia Solano Airport,BSC,Bahia Solano,Colombia,1
Barranca De Upia Airport,BAC,Barranca De Upia,Colombia,1
Variguies Airport,EJA,Barrancabermeja,Colombia,1
Barrancominas Airport,NBB,Barrancominas,Colombia,1
Ernesto Cortissoz International Airport,BAQ,Barranquilla,Colombia,1
El Nuevo Dorado International Airport,BOG,Bogota,Colombia,3
Palo Negro Airport,BGA,Bucaramanga,Colombia,1
Buenaventura Airport,BUN,Buenaventura,Colombia,1
Barra Airport,BQQ,Barra,Brazil,1
Barra Do Corda Airport,BDC,Barra Do Corda,Brazil,1
Barra Do Garcas Airport,BPG,Barra Do Garcas,Brazil,1
Barreiras Airport,BRA,Barreiras,Brazil,1
Barreirinhas Airport,BRB,Barreirinhas,Brazil,1
Barretos Airport,BAT,Barretos,Brazil,1
Bauru Airport,BAU,Bauru,Brazil,1
Ndola Airport,NLA,Ndola,Zambia,1
Ngoma Airport,ZGM,Ngoma,Zambia,1
Senanga Airport,SXG,Senanga,Zambia,1
Sesheke Airport,SJQ,Sesheke,Zambia,1
Solwezi Airport,SLI,Solwezi,Zambia,1
Alfonso B. Aragon Airport,CLO,Cali,Colombia,2
Candilejas Airport,CJD,Candilejas,Colombia,1
Capurgana Airport,CPB,Capurgana,Colombia,1
Caquetania Airport,CQT,Caquetania,Colombia,1
Carimagua Airport,CCO,Carimagua,Colombia,1
Rafael Nunez Airport,CTG,Cartagena,Colombia,1
Cartago Airport,CRC,Cartago,Colombia,1
Caruru Airport,CUO,Caruru,Colombia,1
Casuarito Airport,CSR,Casuarito,Colombia,1
Val De Cans Airport,BEL,Belem,Brazil,2
Belmonte Airport,BVM,Belmonte,Brazil,1
Pampulha Airport,PLU,Belo Horizonte,Brazil,2
Tancredo Neves (Confins) International Airport,CNF,Belo Horizonte,Brazil,2
Bento Goncalves Airport,BGV,Bento Goncalves,Brazil,1
Blumenau Airport,BNU,Blumenau,Brazil,1
Boa Vista Airport,BVB,Boa Vista,Brazil,2
Boca Do Acre Airport,BCR,Boca Do Acre,Brazil,1
Bom Jesus Da Lapa Airport,LAZ,Bom Jesus Da Lapa,Brazil,1
Zambezi Airport,BBZ,Zambezi,Zambia,1
Caucasia Airport,CAQ,Caucasia,Colombia,1
Chaparral Airport,CPL,Chaparral,Colombia,1
Chigorodo Airport,IGO,Chigorodo,Colombia,1
Chivolo Airport,IVO,Chivolo,Colombia,1
Cimitarra Airport,CIM,Cimitarra,Colombia,1
Codazzi Airport,DZI,Codazzi,Colombia,1
Mandinga Airport,COG,Condoto,Colombia,1
Bonito Airport,BYO,Bonito,Brazil,1
Borba Airport,RBB,Borba,Brazil,1
Braganca Paulista Airport,BJP,Braganca Paulista,Brazil,1
Brasilia International Airport,BSB,Brasilia,Brazil,2
Breves Airport,BVS,Breves,Brazil,1
Brumado Airport,BMS,Brumado,Brazil,1
Buzios Airport,BZC,Buzios,Brazil,1
Cabo Frio Airport,CFB,Cabo Frio,Brazil,1
Lome Airport,LFW,Lome,Togo,2
Niamtougou Airport,LRL,Niamtougou,Togo,1
Corozal Airport,CZU,Corozal,Colombia,1
Covenas Airport,CVE,Covenas,Colombia,1
Cravo Norte Airport,RAV,Cravo Norte,Colombia,1
Camilo Dazo Airport,CUC,Cucuta,Colombia,1
Currillo Airport,CUI,Currillo,Colombia,1
El Bagre Airport,EBG,El Bagre,Colombia,1
San Bernado Airport,ELB,El Banco,Colombia,1
El Charco Airport,ECR,El Charco,Colombia,1
Cacador Airport,CFC,Cacador,Brazil,1
Caceres Airport,CCX,Caceres,Brazil,1
